"номер","тип_задачи","текст_задачи","изображение","выполнено","правильный_ответ"
"454","Текстовые задачи","Из двух городов, расстояние между которыми 420 км, выехали навстречу два автомобиля. Скорость первого 60 км/ч, второго – 80 км/ч. Через сколько часов расстояние между ними станет 140 км? Ответ дайте числом.","","False","2"
"455","Текстовые задачи","Токарь должен был изготовить 120 деталей за определённое время. Изготавливая на 5 деталей в час больше, он закончил работу на 2 часа раньше. Сколько деталей в час он изготавливал по плану? Ответ дайте числом.","","False","15"
"456","Текстовые задачи","Первый пешеход вышел из пункта А со скоростью 4 км/ч. Через 2 часа из А в том же направлении вышел второй пешеход со скоростью 6 км/ч. Через сколько часов второй догонит первого? Ответ дайте числом.","","False","4"
"457","Текстовые задачи","Бассейн наполняется тремя трубами. Первая и вторая вместе наполняют за 4 часа, первая и третья – за 6 часов, вторая и третья – за 8 часов. За сколько часов наполнят бассейн все три трубы? Ответ округлите до сотых.","","False","3.43"
"458","Текстовые задачи","Моторная лодка прошла 50 км по течению и 30 км против течения, затратив на путь по течению на 1 час меньше. Скорость течения 2 км/ч. Найдите собственную скорость лодки в км/ч. Ответ дайте числом.","","False","12"
"459","Текстовые задачи","Одна бригада может выполнить работу за 9 дней, другая – за 12 дней. Первая бригада работала 3 дня, затем к ней присоединилась вторая. За сколько дней была выполнена вся работа? Ответ дайте числом.","","False","6"
"460","Текстовые задачи","Из пункта А в пункт В вышел поезд со скоростью 50 км/ч. Через 2 часа из В в А вышел другой поезд со скоростью 60 км/ч. Расстояние между А и В 600 км. Через сколько часов после выхода первого поезда они встретятся? Ответ дайте числом.","","False","6"
"461","Текстовые задачи","Катер проплыл 40 км по течению и 40 км против течения, затратив на путь против течения на 1 час больше. Скорость течения 2 км/ч. Найдите скорость катера в км/ч. Ответ дайте числом.","","False","18"
"462","Текстовые задачи","Два штукатура, работая вместе, отремонтировали квартиру за 4 дня. Первый штукатур один отремонтировал бы за 6 дней. За сколько дней отремонтировал бы второй? Ответ дайте числом.","","False","12"
"463","Текстовые задачи","Велосипедист проехал 60 км со скоростью 20 км/ч, затем 40 км со скоростью 10 км/ч. Найдите среднюю скорость в км/ч. Ответ округлите до сотых.","","False","13.33"
"464","Текстовые задачи","Лодка прошла 45 км по течению и 45 км против течения, затратив на весь путь 8 часов.                                         Скорость течения 3 км/ч. Найдите скорость лодки в км/ч. Ответ дайте числом.","","False","12"
"465","Текстовые задачи","Первый кран заполняет цистерну за 5 часов, второй – за 7 часов. За сколько часов заполнится цистерна, если открыть оба крана на 2 часа, затем закрыть первый? Ответ дайте числом (десятичная дробь).","","False","3.2"
"466","Текстовые задачи","Из пункта А выехал мотоциклист со скоростью 40 км/ч. Через 30 минут из того же пункта в том же направлении выехал автомобиль со скоростью 60 км/ч. На каком расстоянии от А (в км) автомобиль догонит мотоциклиста? Ответ дайте числом.","","False","60"
"467","Текстовые задачи","Две машины выехали одновременно из одного пункта в противоположных направлениях. Скорость первой 50 км/ч, второй – 70 км/ч. Через сколько часов расстояние между ними будет 360 км? Ответ дайте числом.","","False","3"
"468","Текстовые задачи","Теплоход прошёл 90 км по течению и 90 км против течения, затратив на путь против течения на 1 час больше. Скорость течения 3 км/ч. Найдите скорость теплохода в км/ч. Ответ дайте числом.","","False","27"
"469","Текстовые задачи","Двое рабочих выполнили работу за 6 часов. Если бы первый работал в 2 раза быстрее, а второй в 2 раза медленнее, то работа была бы выполнена за 4 часа. За сколько часов выполнил бы работу один первый рабочий? Ответ дайте числом.","","False","8"
"470","Текстовые задачи","Моторная лодка прошла 60 км по течению и 60 км против течения, затратив на весь путь 11 часов. Скорость лодки в стоячей воде 11 км/ч. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","1"
"471","Текстовые задачи","Первая труба наполняет бак за 10 минут, вторая – за 15 минут. За сколько минут наполнится бак, если открыть обе трубы? Ответ дайте числом.","","False","6"
"472","Текстовые задачи","Из пункта А в пункт В, расстояние 300 км, выехал автомобиль. Через 1 час из В в А выехал мотоцикл. Они встретились через 2 часа после выезда мотоцикла. Скорость автомобиля на 20 км/ч больше скорости мотоцикла. Найдите скорость мотоцикла в км/ч. Ответ дайте числом.","","False","50"
"473","Текстовые задачи","Лодка проплыла 24 км по течению и 20 км против течения, затратив на путь по течению на 1 час меньше. Скорость течения 2 км/ч. Найдите скорость лодки в км/ч. Ответ дайте числом.","","False","8"
"474","Текстовые задачи","Два комбайна, работая вместе, убрали поле за 6 часов. Первый комбайн один убрал бы поле за 10 часов. За сколько часов убрал бы поле второй комбайн? Ответ дайте числом.","","False","15"
"475","Текстовые задачи","Поезд прошёл 120 км за 2 часа, затем 180 км за 3 часа. Найдите среднюю скорость в км/ч. Ответ дайте числом.","","False","60"
